Site,Date,Time,P,P +/-,S,S +/-,Cl,Cl +/-,K fresh,K weathered,Ca fresh,Ca weathered,Ti fresh,Ti weathered,Mn fresh,Mn weathered,Fe fresh,Fe weathered,Zn fresh,Zn weathered,Rb fresh,Rb weathered,Sr fresh,Sr weathered,Zr fresh,Zr weathered,Ba fresh,Ba weathered,Pb fresh,Pb weathered
Huaccoto,,,,,,,,,43969,24204,28067,7394,4922,5752,448,378,22015,26558,69,82,90,114,984,268,228,239,1595,1095,24,27
,,,,,,,,,47500,47428,25492,23172,5282,5097,443,490,23878,24986,77,90,107,110,937,971,222,224,1393,1415,23,23
,,,,,,,,,48176,19431,27426,10915,6352,3369,521,1698,25608,22433,87,79,111,104,998,855,228,213,1933,1150,27,20
,,,,,,,,,42497,46824,26039,10574,6489,5771,453,524,27172,27770,89,105,102,120,893,718,217,234,2096,1395,20,26
,,,,,,,,,50161,42362,29555,25813,4902,4243,450,465,23894,21675,81,79,108,103,982,907,225,209,1509,1343,17,25
,,,,,,,,,42834,46739,19353,18071,4015,4844,496,503,22025,24400,76,89,98,106,804,822,200,214,1372,1526,18,20
,,,,,,,,,44245,45648,23117,21868,4359,5775,389,495,23684,25592,83,96,108,102,929,881,215,218,1503,1432,23,22
,,,,,,,,,46152,20564,24442,10913,4351,5290,468,397,22681,28790,82,81,107,91,930,730,213,191,1307,907,24,36
,,,,,,,,,46384,42164,25943,25183,5172,4965,439,450,24593,23546,83,80,103,103,871,950,202,227,1654,1564,19,25
,,,,,,,,,49929,39111,26417,19975,5457,4992,444,648,23376,25130,76,98,103,110,902,873,204,226,1515,1700,20,22